Source Language,Target Language,Source,Candidate,Translation Time (s)
Korean,English,"한 실험용 백신이 에볼라 사망률을 줄일 수 있을 것처럼 보이지만, 지금까지 어떤 약도 기존의 감염을 치료하는데 적합하다고 명확하게 입증되지 않았습니다.","One experimental vaccine appears to potentially reduce Ebola mortality rates, but no medication has yet been clearly proven to be effective in treating existing infections.",1.6321
Korean,English,"항체 칵테일 지맵(ZMapp)은 초기에는 그 분야에서 가능성을 보였지만, 공식적인 연구들에 의하면 죽음을 방지하는 효과가 기대보다 작다고 합니다.","ZMapp, a cocktail of antibodies, showed promise in its early stages, but official studies suggest that its efficacy in preventing death is less than expected.",1.8716
Korean,English,"PALM 실험에서 ZMapp은 대조군의 역할을 했습니다. 즉, 과학자들은 ZMapp을 기준치로 사용했고 다른 세 가지 치료법을 이와 비교했습니다.","In the PALM study, ZMapp served as the control group. In other words, researchers used ZMapp as the benchmark and compared it with the other three treatments.",2.1322
Korean,English,"미국 체조 협회는 미국 올림픽 위원회의 서한을 지지하며, 미국의 전 운동선수가 안전한 환경을 가질 수 있도록 돕는 올림픽 관계자의 절대적 필요성을 인정합니다.","The United States Gymnastics Association supports and acknowledges the absolute necessity of Olympic officials ensuring a safe environment for American athletes, in accordance with the letter from the United States Olympic Committee.",2.1172
Korean,English,저희는 탈퇴가 아닌 조직 내에서 의미있는 변화를 추구함으로써 선수와 구단과 그리고 스포츠에 더 나은 결과를 가져올 수 있다는 USOC의 주장에 동의합니다.,"We agree with the USOC's assertion that by pursuing meaningful change within the organization, rather than withdrawal, we can achieve better outcomes for athletes, teams, and the sport as a whole.",2.2499
Korean,English,미국 체조단은 래리 나사르의 피해자들이 그동안 용기 있게 밝혀왔던 사실들이 어떻게 오랫동안 밝혀지지 않았으며 다시는 이런 일이 없도록 필요하고 적절한 조치를 취하기 위한 독립적인 조사를 지지한다.,The United States gymnastics team supports an independent investigation to uncover the facts that have been courageously revealed so far by Larry Nassar's victims and to take necessary and appropriate measures to prevent such incidents from happening again in the future.,2.6811
Korean,English,미국 체조 대표팀과 USOC는 같은 목표를 가지고 있습니다. 선수들이 안전하고 긍정적이며 격려 받는 환경에서 꿈을 좇을 수 있도록 체조 등의 스포츠를 가능한 한 안전하게 만드는 것입니다.,"The United States gymnastics team and the USOC share the same goal. They aim to create a gymnastics and other sports environment where athletes can pursue their dreams in a safe, positive, and supportive setting.",2.439
Korean,English,1960년대에 걸쳐 브레진스키는 케네디의 고문으로 근무한 후 린든 존슨 행정부에서 근무했다.,"In the 1960s, Brezhnev served as an advisor to Kennedy before working in the administration of Lyndon B. Johnson.",1.5977
Korean,English,그는 1976년 선발 과정에서 카터에게 외교정책에 대해 조언한 뒤 1977년부터 1981년까지 헨리 키신저의 뒤를 이어 국가 안보담당 대통령 보좌관(NSA)을 지냈습니다.,"He was selected in 1976 and advised Carter on diplomatic policy, serving as the National Security Adviser to the President from 1977 to 1981, succeeding Henry Kissinger.",2.1897
Korean,English,"그는 NSA로서 1978년 캠프 데이비드 어코드, 1970년대 후반에 미국과 중국의 관계 정상화, 1979년 이란 인질 위기로 이어진 이란 혁명, 1979년 소련의 아프가니스탄 침공과 같은 세계 문제를 외교적으로 다루는 일에서 카터 대통령을 보좌하였습니다.","He served as a presidential assistant to President Carter in handling international issues such as the Camp David Accords in 1978, the normalization of US-China relations in the late 1970s, the Iranian Revolution that followed the hostage crisis in Iran in 1979, and the Soviet invasion of Afghanistan in 1979.",3.6313
Korean,English,라이언 고슬링과 엠마 스톤이 출연한 이 영화는 모든 주요 부문에서 후보에 올랐다.,"The film, which stars Ryan Gosling and Emma Stone, was nominated in all major categories.",1.1805
Korean,English,라이언 고슬링과 엠마 스톤은 각각 남우주연상과 여우주연상 후보에 올랐습니다.,"Leonardo DiCaprio and Emma Stone have each been nominated for Best Actor and Best Actress, respectively.",1.2017
Korean,English,"다른 부문으로는 최우수 작품상, 감독상, 촬영상, 의상 디자인, 영화 편집상, 작곡상, 제작상, 사운드 편집상, 사운드 믹싱, 오리지널 각본상에 후보로 올라있다.","In addition, it is nominated for Best Work, Best Director, Best Cinematography, Costume Design, Film Editing, Original Score, Production, Sound Editing, Sound Mixing, and Original Screenplay.",2.3031
Korean,English,그 영화에서 나오는 오디션(꿈꾸는 바보들)과 시티 오브 스타 두 곡이 베스트 주제곡 후보에 올랐습니다. 라이온스게이트 스튜디오는 다른 스튜디오보다 월등히 많은 26개의 후보 지명을 받았습니다.,"The two songs, ""Dreaming Fool"" and ""City of Stars"", from that movie were nominated as the best theme song candidates. Lionsgate Studios received a significantly large number of 26 nominations, far exceeding other studios.",2.637
Korean,English,도널드 트럼프 미국 대통령은 늦은 일요일 시간대에 대변인을 통해 발표한 성명에서 미군이 시리아에서 철수할 것이라고 발표했다.,President Donald Trump of the United States announced through a spokesperson in a statement made during late Sunday hours that US troops will be withdrawing from Syria.,1.659
Korean,English,이 발표는 트럼프가 레제프 타이이프 에르도안 터키 대통령과 전화 통화를 한 후에 이루어졌다.,This announcement was made after President Trump spoke on the phone with Turkish President Recep Tayyip Erdogan.,1.2097
Korean,English,또한 터키는 유럽 국가들이 본국으로 송환하는 것을 거부한 체포된 ISIS 전투기를 보호할 것이라고 밝혔다.,Turkey has stated that it will protect captured ISIS fighters who have been refused repatriation by their home European countries.,1.4053
Korean,English,"이것은 적어도, 이미 널리 알려진 이론인, 몇몇 공룡들이 깃털을 가지고 있었다는 것을 확인 시켜 줄 뿐만 아니라, 색깔과 3차원 배열과 같이 일반적으로 화석만으론 부족한 세부적인 사항들을 제공한다.","This confirms, at the very least, that some dinosaurs had feathers, as is already widely known, and provides additional details such as color and three-dimensional arrangement, which are typically lacking in fossil records.",2.2931
Korean,English,. 과학자들은 이 공룡 깃털의 윗쪽이 진갈색이고 아랫쪽은 희거나 노란빛이었다고 밝혔다.,Scientists have announced that the dinosaur's feathers were likely dark at the top and light or yellow at the bottom.,1.2818
Korean,English,그러한 발견은 또한 조류에 있어서 깃털의 진화에 대한 통찰을 제공한다.,Such a discovery also provides insight into the evolution of feathers in birds.,0.8592
Korean,English,공룡 깃털은 우축이라고 불리는 잘 발달된 깃대가 없지만 미늘과 작은 깃가지 같은 다른 특징적인 깃털을 가지고 있으며 연구자들은 이런 다른 특징들이 나중에 진화하여 우축으로 발전했을 것이라고 추측했습니다.,"Feathers of dinosaurs, known as protofeathers, are well-developed but lack quill knobs, however, they possess other characteristic feathers such as filaments and small feather-like structures, and researchers have speculated that these other characteristics would have evolved later to develop into protofeathers.",3.2673
Korean,English,깃털의 구조는 비행 용이 아니라 체온 조절이나 과시용으로 쓰였음을 암시한다. 연구원들은 어린 공룡의 꼬리에서 나온 샘플을 조사하니 유아의 솜털이 아닌 성인 공룡의 깃털이라고 이야기하였다.,"The structure of feathers suggests that they were used for temperature regulation or display purposes rather than flight. Researchers have examined samples from the tail of young dinosaurs, stating that they were not downy feathers of juveniles, but rather adult dinosaur feathers.",2.8058
Korean,English,"이것은 젊은 공룡의 꼬리이지만, 샘플을 보면 어린 개체의 솜털이 아닌 성체의 깃털임을 알 수 있다고 연구진은 말합니다.","This is the tail of a young dinosaur, but upon closer examination, researchers say it appears to be the plumage of an adult, not the down of a juvenile.",2.0212
Korean,English,어제 아침 터키 가지안테프에 있는 경찰서에서 폭발한 차량 폭탄으로 인해 경찰관 2명이 죽고 20명 이상의 다른 사람들이 다쳤습니다.,"Yesterday morning, a vehicle bomb exploded at the police station in the Iraqi city of Fallujah, resulting in the deaths of two police officers and injuring more than 20 other people.",2.1731
Korean,English,그 주지사는 부상자 중 19명이 경찰관이라고 말했다.,The governor said that 19 of the injured were police officers.,0.7878
Korean,English,경찰은 공격에 대한 책임이 있다고 주장되는 다에시(ISIL) 무장세력에게 혐의를 두고 있다고 밝혔습니다.,The police have stated that they hold the Daesh (ISIL) militant group responsible for the attack.,1.2475
Korean,English,그들은 해가 다른 별들과 같이 발광성과 회전의 원리만으로 작동한다는 것을 발견했습니다.,"They have discovered that they operate solely on the principles of radiation and rotation, just like the sun and other stars.",1.3336
Korean,English,"발광도와 회전을 함께 사용해 별의 로스비 번호를 결정하는데, 이는 혈장 흐름(plasma flow)과 관련이 있다.","The use of fluorescence and rotation together is used to determine the Lobeck number of a star, which is related to plasma flow.",1.6413
Korean,English,로스비 수(Rossby number)가 작을수록 자기 역전 면에서 항성의 활동성 역시 작다.,"The Rossby number is small, so the star's activity is also small in terms of self-reversal.",1.3527
Korean,English,여행 중에 이와사키는 여러 번 난관에 봉착했다.,"During his travels, Ishiwara encountered numerous difficulties on several occasions.",0.8892
Korean,English,"그는 해적들에게 강도 당하고, 티베트에서 미친개에게 공격당했으며, 네팔에서는 거의 결혼할 뻔했고 인도에서 체포되었다.","He was robbed by pirates, attacked by a mad dog in Tibet, almost married in Nepal, and arrested in India.",1.4126
Korean,English,802.11n 표준은 2.4GHz와 5.0GHz 주파수 모두에서 작동합니다.,The 802.11n standard operates in both 2.4GHz and 5.0GHz frequency bands.,1.3586
Korean,English,"기지국에 이중 라디오가 있다면 이것이 802.11a, 802.11b와 802.11g가 이전 기종이라도 호환할 수 있게 해준다.","If a dual radio is present at the base station, this would enable compatibility with previous models of 802.11a, 802.11b, and 802.11g.",2.2156
Korean,English,802.11n은 이론상 최대 600Mbit/s의 대역폭을 가져 기존 표준에 비해 상당히 빠릅니다.,"The 802.11n standard has a theoretical maximum bandwidth of 600Mbit/s, which is significantly faster than existing standards.",1.5354
Korean,English,이 이야기에 관계된 두 명의 성인 자녀를 둔 기혼자인 듀발은 밀러에게 깊은 인상을 남기지 않았습니다.,"Duvall, a married man with two adult children, did not leave a lasting impression on Miller.",1.2088
Korean,English,"""의견을 물었을 때 밀러는 """"청문회 동안 마이크는 많은 이야기를 했습니다… 저는 준비를 하고 있었기 때문에 그가 하는 말을 듣지 못했습니다""""라고 말했습니다.""","""When asked for his opinion, Miller said, 'The microphone picked up a lot of conversation during the hearing... I was prepared, so I didn't hear what he was saying.'""",2.1366
Korean,English,"""후 주석은 """"2020년까지는 GDP 단위당 이산화탄소 방출량을 2005년 수준에서 현저한 폭으로 감소시키려고 노력할 것입니다""""라고 말했습니다.""","""The next chairman said, 'They will make a significant effort to reduce carbon emissions per GDP unit to the level of 2005 by 2020.'""",1.8361
Korean,English,그는 감산 규모는 중국의 경제 생산량을 바탕으로 정해질 것이라면서 수치를 밝히지 않았습니다.,"He did not reveal the scale of the reduction, saying it would be determined based on China's economic output.",1.3365
Korean,English,"""후는 개발도상국들이 """"일단 오염시키고 나중에 치우는 옛 방식을 탈피하도록"""" 격려했습니다.""",The developed countries have been commended to move away from the old method of polluting first and cleaning up later.,1.3751
Korean,English,"""후 주석은 """"그렇다 해서 그들에게 그 발달단계와 책임 범위, 능력을 벗어나는 의무를 지라고 요구해서는 안 된다""""라고 덧붙였다.""","""Furthermore, he added that it would be unreasonable to require them to assume obligations that exceed their developmental stage, scope of responsibility, and capabilities.""",1.6528
Korean,English,이라크 스터디 그룹은 오늘 12시 GMT(그리치니 표준시)에 리포트를 발표했다.,The Iraqi Study Group has released its report today at 12:00 GMT (Greenwich Mean Time) standard time.,1.4627
Korean,English,"이 시점에서 이라크의 행동이 종파적인 전쟁이나 폭력이 증가하는 것, 혹은 혼돈의 상태를 막을 수 있다는 데에 보장은 없다.","At this point, there is no guarantee that Iraq's actions will prevent sectarian wars or violence from increasing, or that chaos will be averted.",1.6846
Korean,English,보고서는 미국의 중동 정책에 관해 공개 토론과 의견 일치 형성에 대한 탄원으로 시작한다.,The report begins with a call for open discussion and consensus-building regarding the United States' Middle East policy.,1.2534
Korean,English,보고서는 행정부의 현재 이라크 정책에 대해 거의 모든 측면에서 매우 비판적이며 즉각적인 방향 변경을 촉구합니다.,The report is highly critical of the current Iraqi policy of the administration from almost every angle and urges an immediate change of direction.,1.4802
Korean,English,우선 78개 권고안 중 하나는 이라크의 적대적 개입에 대비하여 국경을 확보하고 이웃 국가들과의 외교 관계를 재정립하기 위해 올해 말이 되기 전에 새로운 외교 정책을 취해야 한다는 것입니다.,"First and foremost, one of the 78 recommendations is that a new diplomatic policy must be adopted before the end of this year in order to secure the border in preparation for Iraq's hostile intervention and to re-establish diplomatic relations with neighboring countries.",2.7766
Korean,English,현 상원 의원 겸 아르헨티나 대통령 부인 크리스티나 페르난데스 데 키르치네르(Cristina Fernandez de Kirchner)는 어제저녁 부에노스아이레스(Buenos Aires)에서 50km 떨어진 라 플라타(La Plata)에서 대선 출마를 선언했다.,"Yesterday evening, Argentine President's wife, Cristina Fernandez de Kirchner, announced her candidacy for the upcoming election in La Plata, a city located 50km away from Buenos Aires.",2.167
Korean,English,키르치네르 여사는 2005년 부에노스아이레스 지방 대표단의 일원으로 상원 의원 선거운동을 시작할 때와 같은 장소인 아르헨티나 극장에서 대통령 출마 의사를 밝혔다.,"Mrs. Kirchner announced her intention to run for president at the same location, the Teatro Argentino in Buenos Aires, when she began her campaign as a senatorial candidate in 2005.",2.4015
Korean,English,"카트리나 태풍 후에 구호물자와 재건축을 위한 지출을, 국가 재정에 보수적인 태도를 취하는 사람들이 '부시의 뉴올리언스 거래'로 일컬으면서 논쟁이 일어났다.","The controversy arose as people who take a conservative attitude towards national finances, referring to it as ""Bush's New Orleans deal,"" criticized the expenditures for relief materials and reconstruction after Hurricane Katrina.",2.1404
Korean,English,재건 활동에 대한 리버럴 측 비판은 소위 워싱턴 내부자들에게 재건 관련 계약이 돌아간 것에 초점을 맞추었습니다.,The liberal criticism of the reconstruction activities has focused on the fact that reconstruction-related contracts were awarded to so-called insiders within the Washington establishment.,1.5679
Korean,English,400만 명이 넘는 사람들이 장례식 참석을 위해 로마로 모여들었습니다.,Over 4 million people gathered in Rome for the funeral.,0.7908
Korean,English,참석한 인원수가 너무 많은 나머지 대부분이 성 베드로 광장에서 치러진 장례식에 입장할 수 없었습니다.,"Unfortunately, due to the large number of attendees, most people were unable to enter the funeral service held in St. Peter's Square.",1.5739
Korean,English,대형 텔레비전 스크린 여러 대가 로마 곳곳에 설치되어 사람들이 장례식을 관람할 수 있도록 했습니다.,Large television screens were installed in various locations throughout Rome to enable people to watch the funeral procession.,1.1062
Korean,English,"이탈리아 내 많은 도시들과 전 세계의 다른 도시 들내에서도, 특히나 폴란드, 비슷한 스크린들이 설치되어서 많은 사람들이 볼 수 있도록 하였습니다.","In many cities within Italy and other cities around the world, particularly in Poland, similar screens have been installed so that many people can view them.",1.7083
Korean,English,역사학자들은 FBI의 성공률을 일부러 높이기 위해 도난 차량 사건과 같이 쉬운 사건에만 초점을 두고 자원을 집중하는 과거의 FBI 정책을 비판해 왔다.,Historians have criticized the FBI's past policy of focusing resources on easy cases such as the stolen car incident in order to deliberately inflate its success rate.,1.7348
Korean,English,"미 의회는 2005년도 예산부터 외설 방지책 자금을 배정했으며, FBI에서 성인 포르노 분야에 10명의 요원을 반드시 배치할 것을 특정했다.","The House of Representatives has allocated funds for obscenity prevention measures since the 2005 budget, and the FBI has specifically required the placement of at least 10 personnel in the adult pornography field.",2.2563
Korean,English,로빈 우타파(Robin Uthappa)가 이닝 최고점을 기록했다. 4점 11개와 6점 2개로 41 투구만에 70 런을 쳐 이닝 최고점을 기록했다.,"Robin Uthappa achieved a career-high score of 70 runs in just 41 balls, with 4 fours and 6 sixes.",1.9248
Korean,English,중간 순서 크리켓 배트맨인 사친 텐둘카르와 라훌 드라비드는 훌륭한 성적을 냈으며 100런 파트너쉽을 이뤄냈습니다.,"The middle-order batsmen, Sachin Tendulkar and Laxman Dravid, have performed exceptionally well and have achieved a 100-run partnership.",1.8467
Korean,English,"하지만, 주장이 위킷(wicket)을 잃은 후 인도는 이닝을 끝내기 위해 7개의 위킷을 잃으며 36득점을 했을 뿐이다.","However, after losing the wicket, India was able to end the inning by losing 7 wickets and scoring 36 runs only.",1.6567
Korean,English,조지 W. 부시 미합중국 대통령은 11월 16일 아침 싱가포르에 도착하는 것으로 일주일에 걸치는 아시아 순방을 시작하였다.,"President George W. Bush of the United States arrived in Singapore on the morning of November 16, marking the beginning of a week-long tour of Asia.",1.7101
Korean,English,그는 싱가포르 부총리 웡칸셍의 환영을 받았고 싱가포르 총리 리셴룽과 무역 및 테러 문제를 논의하였습니다.,He was warmly welcomed by Singapore's Deputy Prime Minister Wong Kan Seng and had discussions with Singapore's Prime Minister Lee Hsien Loong on trade and terrorism issues.,1.8583
Korean,English,"부시는 중간 선거에서 일주일 내내 이어진 패배 이후, 아시아에서의 무역 확장 정책을 발표했습니다.","Following a week of consecutive losses in the mid-term elections, he announced an expansion of trade in Asia.",1.2138
Korean,English,"스티븐 하퍼 총리는 화요일 PMO에서 NDP 대표 잭 레이턴과의 25분 회담을 끝낸 후, 정부의 '대기 오염 방지법'을 두 번째로 읽기 전에 모든 당무회에 보내 검토하게 하는데 동의했습니다.","The Premier, Steven Harper, agreed to have all caucus members review the ""Clean Air Act"" before he reads it for a second time, following a 25-minute meeting with NDP representative Jack Layton at the PMO on Tuesday.",2.7241
Korean,English,"""레이튼(Layton)은 총리와의 면담에서 보수당의 환경 법안을 """"철저히, 완전하게 재작성"""" 할 것을 요청하며, 보수당의 환경 법안에 대한 변경을 촉구했다.""","""Layton requested a thorough and complete rewriting of the Conservative Party's environmental bill during a meeting with the Prime Minister, and urged changes to the Conservative Party's environmental bill.""",1.988
Korean,English,"연방정부가 타즈마니아 데본포트에 있는 머시 병원의 자금을 인수하기 위해 개입했을 때부터, 주 정부와 일부 연방 하원 의원들은 이러한 행동이 11월에 있을 연방선거전의 일환으로 쓰일 거라고 비난해왔다.","From the moment the federal government intervened to take over the finances of the Mercy Hospital in Devonport, Tasmania, local government and some federal House of Representatives members have been criticizing that this action will be used as a pre-election tactic in November.",2.7576
Korean,English,"그러나 존 하워드 총리는 이번 조치는 태즈메이니아 정부에 의해 병원 시설이 격하되는 것을 막기 위한 것이라고 말하며 4,500만 달러를 추가로 지급했다.","However, Premier Hodgman says the measure is intended to prevent hospital facilities from being downgraded by the Tasmanian government, and an additional $45 million has been allocated.",1.9679
Korean,English,"최근 속보에 의하면, 쓰나미가 발생했을 때의 해수면 수치가 기록되었으며, 실제로 파고 파고와 니우에 근처에 쓰나미가 강타했다고 밝혀졌다.","According to recent reports, the sea level at the time of the tsunami was recorded, and it was confirmed that the tsunami actually hit the areas of Pago Pago and Niuatoputapu.",2.412
Korean,English,"통가에선 큰 피해나 부상자들이 보고되지는 않았지만, 전력 수급이 일시적으로 끊겨 통가 당국이 PTWC에서 발령한 쓰나미 경보를 받지 못한 것으로 알려졌습니다.","There have been no reports of significant damage or casualties in Tonga, but it is understood that the Tongan authorities did not receive the tsunami warning issued by PTWC due to a temporary disruption in power supply.",2.3673
Korean,English,해안지대 또는 그 주변에 있는 14개의 하와이 소재 학교는 경보가 해제되었음에도 지난 수요일 휴교하였습니다.,The 14 Hawaii-based schools located on or near the coastal area observed a holiday despite the warning having been lifted on Wednesday.,1.4972
Korean,English,조지 W. 부시 미국 대통령은 이 같은 발표를 환영했습니다.,President George W. Bush of the United States welcomed this announcement.,0.8595
Korean,English,"""부시의 대변인 고든 존드로는 북한의 약속에 대해 """"한반도의 비핵화를 달성하기 위한 주요 단계""""라고 평했습니다.""","Bush's spokesperson, Gordon Johndroe, stated that North Korea's commitment is ""a major step towards achieving denuclearization of the Korean Peninsula.""",1.8277
Korean,English,대서양 허리케인의 열 번째 폭풍인 아열대 폭풍 제리가 오늘 대서양에서 생성되었습니다.,"The tenth hurricane of the Atlantic hurricane season, Tropical Storm Jeremy, formed today in the Atlantic.",1.1169
Korean,English,"미국 국립 허리케인 센터 (NHC)에 의하면, 태풍 제리는 더 이상 위협이 되지 않는다.","According to the National Hurricane Center (NHC) in the United States, Typhoon Jery is no longer a threat.",1.4909
Korean,English,미국 공병대는 시간당 6인치의 강우량이 기 파손된 제방을 무너뜨릴 수 있다고 추정했다.,The US Army Corps of Engineers estimated that the levee could be breached and collapse at a rate of six inches per hour.,1.4983
Korean,English,허리케인 카트리나 때 최고 20 feet 높이의 홍수를 겪은 나인스 워드(the Ninth Ward)는 현재 근처 제방이 범람하면서 허리 높이까지 차오르고 있다.,"The Ninth Ward, which experienced the highest 20 feet of flooding during Hurricane Katrina, is currently seeing nearby levees overflow and rise to the roof level.",1.8281
Korean,English,100피트 너비의 제방 너머로 물이 흘러넘칩니다.,"Water flows over the levee, which is 100 feet wide.",0.8575
Korean,English,Commons 관리자 Adam Cuerden은 지난달 위키 뉴스와의 통화에서 삭제에 대한 불만을 드러냈다.,"Mr. Adam Cuerden, a Commons administrator, expressed his dissatisfaction with deletions during a phone call with Wiki News last month.",1.5381
Korean,English,"""""""그 (웨일즈)는 처음부터 우리에게 거짓말했어요. 먼저 이 모든 것이 법적인 이유 때문이라고 했고, 또 삭제하기 직전까지 우리의 말을 듣는 것처럼 행동했죠."""" ""","""He (the Welshman) lied to us from the very beginning. He initially said it was all due to legal reasons and even pretended to listen to our words until the very last moment.""",2.1747
Korean,English,최근 공동체적 반감으로 인해 수백만 개의 공개 라이선스 미디어가 실린 사이트의 성적 콘텐츠에 관한 정책 시안을 작성하기 위한 노력이 생겨났습니다.,"Recently, due to growing community sentiment, efforts have been made to draft a policy proposal regarding the sexual content of publicly licensed media hosted on the site.",1.7143
Korean,English,비록 대부분 이론에 의존하긴 해도 프로그램은 궁수자리 은하 관측을 시뮬레이션하도록 짜여 있습니다.,"Although it relies heavily on theory, the program is designed to simulate the observations of the Archer's Arrow galaxy.",1.3226
Korean,English,팀이 찾고 있던 효과는 은하계의 암흑물질과 은하수의 암흑물질 사이의 기조력에 의해 발생했을 수 있습니다.,The effect that the team was searching for may have occurred due to the galactic tide between galactic dark matter and galactic dark energy.,1.6115
Korean,English,"달이 지구에 당기는 힘을 발휘하여 조수를 일으키듯이, 은하수도 궁수자리 은하계에 힘을 발휘한다.","The moon exerts its gravitational pull on the Earth, causing tidal waves, and the galaxy also exerts its force on the galaxy in the constellation of the archer.",2.1108
Korean,English,과학자들은 암흑물질이 일반 물질과 같은 방식으로 다른 암흑물질에 영향을 준다고 결론지었습니다.,Scientists have concluded that dark matter affects other dark matter in the same way as it does ordinary matter.,1.2502
Korean,English,"이 이론에 따르면 은하계 주변 암흑물질의 대부분은 마치 후광처럼 은하계 주위에 자리 잡고 있으며, 대량의 작은 입자들로 구성되어 있다.","According to this theory, the majority of dark matter surrounding the galaxy cluster is situated around the galaxy cluster, much like a halo, and is composed of a large number of small particles.",2.0963
Korean,English,TV 보도는 공장에서 나오는 흰 연기를 보여줍니다.,The TV report shows white smoke coming out of the factory.,0.7829
Korean,English,현지 당국은 그 발전소 인근 주민들에게 실내에 머물며 에어컨을 끄고 수돗물을 마시지 말라고 경고하고 있다.,"Local authorities are warning nearby residents to stay indoors, turn off air conditioning, and refrain from drinking tap water.",1.318
Korean,English,"일본의 핵 관련 정부 기관에 따르면, 방사성 세슘과 요오드가 발전소에서 검출되었다고 한다.","According to the Japanese government agency responsible for nuclear matters, radioactive caesium and iodine were detected at the power plant.",1.5
Korean,English,당국은 이것이 현장에서 우라늄 연료를 보관하는 컨테이너가 파열되어 누출되고 있다는 것을 나타낸다고 추정한다.,"The authorities are believed to indicate that the container, which is storing uranium fuel on site, has ruptured and leaked.",1.3999
Korean,English,토니 몰 박사는 남아공 지역인 콰줄루나탈에서 XDR-TB(약물 내성 결핵)를 발견했습니다.,Dr. Tony Moll discovered XDR-TB (extensively drug-resistant tuberculosis) in the KwaZulu-Natal region of South Africa.,1.6585
Korean,English,그는 인터뷰에서 새로운 변종이 '치명률이 무척 높아 아주 대처하기 어려우며 두렵다고 언급했다.,He mentioned in the interview that the new variant has a very high mortality rate and is quite difficult to handle and is frightening.,1.4218
Korean,English,"Moll 박사는 일부 환자가 병원에서 질병에 감염되었을 수 있다고 생각하며, 그중 적어도 2명은 건강한 병원 근로자였을 것으로 생각했습니다.","Dr. Moll believes that some patients may have contracted the disease at the hospital, and she thinks that at least two of them were healthy hospital workers.",1.8315
Korean,English,"1년이라는 시간 동안, 감염자 1명이 밀접 접촉자 10명에서 15명을 감염시킬 가능성이 있습니다.","Within a one-year period, an infected individual may potentially infect 10 to 15 close contacts.",1.1556
Korean,English,"그러나 전체 결핵 환자 중 XDR-TB가 있는 비율은 그리 높지 않은 듯합니다. 어느 특정 순간에 남아프리카에서 결핵에 걸린 환자가 330,000명이라고 할 때, 6,000명 정도가 XDR-TB가 있는 수준입니다.","However, it appears that the proportion of patients with XDR-TB among all TB patients is not particularly high. Given that there were approximately 330,000 TB patients in South Africa at a certain point in time, around 6,000 of them had XDR-TB.",3.1369
Korean,English,"무게가 1,000파운드를 초과하고 시속 약 17,500마일로 이동하던 이 두 위성이 지구 상공 491마일에서 충돌했습니다.","The two asteroids, weighing over 1,000 pounds and traveling at approximately 17,500 miles per hour, collided in the Earth's atmosphere at an altitude of 491 miles.",2.1785
Korean,English,과학자들은 충돌로 인한 폭발이 거대했다고 말한다.,Scientists say that the explosion was massive due to the collision.,0.8051
